Notering;Titel;Artiest;Jaar
1323;Eltse grins foarby;De Kast;1998
1324;Bim bam;André van Duin;1982
1325;Pearl's a Singer;Elkie Brooks;1977
1326;Le Freak;Chic;1978
1327;Coming Around Again;Carly Simon;1987
1328;She Loves You;The Beatles;1963
1329;Heroes and Villains;The Beach Boys;1967
1330;I'd rather go blind;Chicken Shack;1969
1331;Love Me Do;The Beatles;1963
1332;(You want to) make a memory;Bon Jovi;2007
1333;All that she wants;Ace of Base;1993
1334;Ice Cream;Chris Barber's Jazz Band;1958
1335;Kiss me;Sixpence None the Richer;1999
1336;Stuck in the middle with you;Stealers Wheel;1973
1337;One Moment in Time;Whitney Houston;1988
1338;Volare;Al Martino;1976
1339;I'm Just a Singer (In a Rock and Roll Band);Moody Blues;1973
1340;Jealous Guy;Roxy Music;1981
1341;Hello again;Neil Diamond;1981
1342;Somebody to love;Jefferson Airplane;1970
1343;Tainted love;Soft Cell;1981
1344;Living Next Door to Alice;Smokie;1977
1345;Weekend Love;Golden Earring;1979
1346;Merry Xmas everybody;Slade;1973
1347;You Don't Bring Me Flowers;Neil Diamond & Barbra Streisand;1978
1348;Love is the drug;Roxy Music;1976
1349;Radio;The Corrs;2000
1350;Lay Down (Candles in the Rain);Melanie & Edwin Hawkins Singers;1970
1351;Unbeschreiblich Weiblich;Nina Hagen;1979
1352;Se bastasse una canzone;Eros Ramazzotti;1990
1353;Casser la voix;Patrick Bruel;1992
1354;Bombay;Golden Earring;1976
1355;Universal Soldier;Donovan;1965
1356;Crazy Horses;The Osmonds;1972
1357;Leun op mij;Ruth Jacott;1999
1358;Miss you;The Rolling Stones;1978
1359;Luka;Suzanne Vega;1987
1360;De glimlach van een kind;Willy Alberti;1968
1361;Everybody Wants to Rule the World;Tears for Fears;1985
1362;The power of love;Jennifer Rush;1985
1363;We All Stand Together;Paul McCartney & Frog Chorus;1985
1364;Still believe;Herman Brood & His Wild Romance;1978
1365;Here Comes the Night;Them;1965
1366;Patsy;Rein de Vries;1965
1367;Shiny Happy People;R.E.M.;1991
1368;That's How Strong My Love Is;The Rolling Stones;1965
1369;Weekend;Earth & Fire;1979
1370;(You're the) Devil in disguise;Elvis Presley;1963
1371;Easy Lover;Phil Collins & Philip Bailey;1985
1372;Three Steps to Heaven;Eddie Cochran;1960
1373;Up Where We Belong;Joe Cocker & Jennifer Warnes;1982
1374;Nutbush city limits;Ike & Tina Turner;1974
1375;It's the End;The Buffoons;1968
1376;My Ever Changing Moods;The Style Council;1984
1377;Relight My Fire;Dan Hartman;1980
1378;Reason to believe;Rod Stewart;1971
1379;Advertising Space;Robbie Williams;2005
1380;Window of Hope;Oleta Adams;1993
1381;Time after time;Cyndi Lauper;1984
1382;Travelin' Band;Creedence Clearwater Revival;1970
1383;Smoorverliefd;Doe Maar;1981
1384;The end of the show;The Cats;1980
1385;Anak;Freddie Aguilar;1980
1386;Let It Be Me;The Everly Brothers;1960
1387;Sadeness;Enigma;1990
1388;Help Me Make It Through the Night;Gladys Knight & the Pips;1971
1389;It's Raining Men;The Weather Girls;1983
1390;A Real Mother for Ya;Johnny Guitar Watson;1977
1391;Smile;Brainbox;1970
1392;Met hart en ziel;Tröckener Kecks;1990
1393;Sealed with a Kiss;Bobby Vinton;1972
1394;I Feel Love;Donna Summer;1977
1395;Can You Feel the Love Tonight;Elton John;1994
1396;On the beach;Chris Rea;1986
1397;Breakaway;Kelly Clarkson;2004
1398;I've Gotta Get a Message to You;Bee Gees;1968
1399;Breakfast at Tiffany's;Deep Blue Something;1996
1400;Wouldn't It Be Nice;The Beach Boys;1966
1401;For what it's worth;Buffalo Springfield;1967
1402;You’re the inspiration;Chicago;1985
1403;Lonely boy;Andrew Gold;1977
1404;La mer;Charles Trenet;1952
1405;Day Tripper;The Beatles;1965
1406;Vivere;Andrea Bocelli & Gerardina Trovato;1994
1407;Petite Fleur;Chris Barber's Jazz Band;1959
1408;Lido Shuffle;Boz Scaggs;1977
1409;I Don't Feel Like Dancin';Scissor Sisters;2007
1410;The Devil Went Down to Georgia;Charlie Daniels Band;1979
1411;I'm a train;Albert Hammond;1974
1412;Do You Wanna Dance;Cliff Richard;1962
1413;Eldorado;Electric Light Orchestra;1974
1414;Junge, Komm Bald Wieder;Freddy Quinn;1963
1415;Silence is golden;The Tremeloes;1967
1416;Without you;Nilsson;1972
1417;Homeward Bound;Simon & Garfunkel;1966
1418;Goodbye stranger;Supertramp;1979
1419;I'll Be Over You;Toto;1986
1420;La Camisa Negra;Juanes;2005
1421;Baby get higher;VanVelzen;2006
1422;Let's Spend the Night Together;The Rolling Stones;1967
1423;Never ever;All Saints;1997
1424;Love will tear us apart;Joy Division;1980
1425;Sound of the Screaming Day;Golden Earring;1967
1426;Coz' I Luv You;Slade;1971
1427;We Were All Wounded At Wounded Knee;Redbone;1973
1428;Mr. Bojangles;Sammy Davis jr.;1972
1429;Fox on the Run;The Sweet;1975
1430;It's over;Roy Orbison;1964
1431;Downtown;Petula Clark;1964
1432;Un canto a Galicia;Julio Iglesias;1972
1433;Wasted words;The Motions;1965
1434;Fairground;Simply Red;1995
1435;If tomorrow never comes;Ronan Keating;2002
1436;Nah Neh Nah;Vaya Con Dios;1990
1437;Hey Tonight;Creedence Clearwater Revival;1970
1438;When will I see you again;The Three Degrees;1974
1439;Don't Be Cruel;Elvis Presley;1956
1440;It's raining again;Supertramp;1982
1441;Sugar baby love;The Rubettes;1974
1442;Sowing the Seeds of Love;Tears for Fears;1989
1443;I Hear You Now;Jon & Vangelis;1980
1444;Shaffy cantate;Ramses Shaffy;1965
1445;Ruby Tuesday;Melanie;1970
1446;Jealous Guy;John Lennon;1971
1447;Drive;The Cars;1984
1448;Sorry Seems to Be the Hardest Word;Elton John;1976
1449;Lonely this Christmas;Mud;1974
1450;Forever Autumn;Jeff Wayne & Justin Hayward;1978
1451;Forever Blue;Little River Band;1995
1452;Red sails in the sunset;Fats Domino;1963
1453;Ik ben zo eenzaam zonder jou;Will Tura;1963
1454;Wild Thing;The Troggs;1966
1455;Christmas was a friend of mine;Fay Lovsky;1982
1456;Chariots of fire;Vangelis;1982
1457;Een Roosje M'n Roosje;Conny Vandenbos;1974
1458;Days;The Kinks;1968
1459;Baby's in Black;The Beatles;1965
1460;For Your Love;The Yardbirds;1965
1461;Blommenkinders;Armand;1967
1462;Love Me Just a Little Bit More (Totally Hooked on You);Dolly Dots;1983
1463;Even aan mijn moeder vragen;Bloem;1980
1464;Nightshift;Commodores;1985
1465;Summer holiday;Cliff Richard;1963
1466;I Don't Believe in Miracles;Colin Blunstone;1972
1467;As;Stevie Wonder;1976
1468;Anne;Clouseau;1989
1469;I'm sorry;Brenda Lee;1960
1470;Cecilia;Simon & Garfunkel;1970
1471;Green Onions;Booker T. & the M.G.'s;1962
1472;Powerful people;Gino Vannelli;1974
1473;No Reply;The Beatles;1965
1474;Ventura Highway;America;1972
1475;A piece of the action;The Babys;1978
1476;Wrap your arms around me;Agnetha Fältskog;1983
1477;Kom uit de bedstee m'n liefste;Egbert Douwe;1968
1478;Head over heels;ABBA;1982
1479;Take My Breath Away;Berlin;1986
1480;Hello hurray;Alice Cooper;1973
1481;Moi... Lolita;Alizée;2001
1482;Walking in Memphis;Marc Cohn;1991
1483;That'll Be the Day;Buddy Holly;1957
1484;Sacramento (A Wonderful Town);Middle of the Road;1972
1485;Late in the Evening;Paul Simon;1980
1486;Under My Thumb;The Rolling Stones;1966
1487;Can't Stand Losing You;The Police;1979
1488;Demasiado corazon;Mink DeVille;1984
1489;It must have been love;Roxette;1990
1490;I Am a Rock;Simon & Garfunkel;1966
1491;I Got You Babe;UB40 & Chrissie Hynde;1985
1492;A Brand New Day;The Wiz Stars;1979
1493;The Six Teens;The Sweet;1974
1494;Life's What You Make It;Talk Talk;1985
1495;Could I Have This Kiss Forever;Enrique Iglesias & Whitney Houston;2000
1496;Me and Mrs. Jones;Billy Paul;1973
1497;Tante Julia;Boudewijn de Groot;1974
1498;Up Around the Bend;Creedence Clearwater Revival;1970
1499;You've got your troubles;The Fortunes;1965
1500;Babooshka;Kate Bush;1980
1501;When I Need You;Leo Sayer;1977
1502;Black pearl;Margriet Eshuijs Band;1982
1503;Love on the Rocks;Neil Diamond;1980
1504;Broken Wings;Mr. Mister;1986
1505;Sure Know Something;Kiss;1979
1506;(If paradise is) half as nice;Amen Corner;1969
1507;Barbara Ann;The Beach Boys;1966
1508;Diep in mijn hart;André Hazes;1982
1509;Ma Baker;Boney M.;1977
1510;I treni di Tozeur;Alice & Battiato;1984
1511;No Matter What;Boyzone;1998
1512;Ain't No Mountain High Enough;Diana Ross;1970
1513;Sweet silver Anny;BZN;1973
1514;The pretender;Jackson Browne;1976
1515;Zwei kleine Italiener;Conny Froboess;1962
1516;Wanhoop niet;Van Dik Hout;2007
1517;Recht in de ogen;De Dijk;2005
1518;Father Figure;George Michael;1988
1519;Wake Me Up Before You Go-Go;Wham!;1984
1520;Only You (And You Alone);The Platters;1957
1521;Maybe Tomorrow Maybe Tonight;Earth & Fire;1973
1522;Liefde voor muziek;Raymond van het Groenewoud;1991
1523;Mushanga;Toto;1988
1524;(Get your kicks on) Route 66;The Rolling Stones;1964
1525;I Do I Do I Do I Do I Do;ABBA;1975
1526;Sir Duke;Stevie Wonder;1977
1527;You Really Got Me;The Kinks;1964
1528;Dream a Little Dream;Mama Cass;1968
1529;Everybody Loves Somebody;Dean Martin;1964
1530;These Boots Are Made for Walkin';Nancy Sinatra;1966
1531;Wonderful Land;The Shadows;1962
1532;Sjakie Van De Hoek;Conny Vandenbos;1975
1533;Never let her slip away;Andrew Gold;1978
1534;A Good Heart;Feargal Sharkey;1985
1535;Tell me;The Rolling Stones;1965
1536;Airport;The Motors;1978
1537;Sunrise;Simply Red;2003
1538;Eenzame Kerst;André Hazes;1976
1539;Midnight Train to Georgia;Gladys Knight & the Pips;1973
1540;1999;Prince;1982
1541;Seasons;Earth & Fire;1970
1542;Baggy Trousers;Madness;1980
1543;Bus stop;The Hollies;1966
1544;The Legend of Xanadu;Dave Dee, Dozy, Beaky, Mick & Tich;1968
1545;15 miljoen mensen;Fluitsma & Van Tijn;1996
1546;You Got It;Roy Orbison;1989
1547;Zondagmiddag Buitenveldert;Frans Halsema;1969
1548;This Is the Moment;René Froger;1992
1549;Ik doe wat ik doe;Astrid Nijgh;1973
1550;Eén kopje koffie;VOF de Kunst;1987
1551;Show me the way;Peter Frampton;1976
1552;Teardrops;Womack & Womack;1988
1553;Never Marry a Railroad Man;Shocking Blue;1970
1554;All At Sea;Jamie Cullum;2004
1555;Someone;Axis;1972
1556;Honey;Bobby Goldsboro;1968
1557;Jessie;Joshua Kadison;1994
1558;Adios Amigo;Jim Reeves;1962
1559;Que Sera, Sera (Whatever Will Be, Will Be);Doris Day;1956
1560;Friday on My Mind;The Easybeats;1966
1561;2000 Light Years From Home;The Rolling Stones;1967
1562;Long Train Running;The Doobie Brothers;1973
1563;Whenever, Wherever;Shakira;2002
1564;All or nothing;Small Faces;1966
1565;Calling Elvis;Dire Straits;1991
1566;Golden years;David Bowie;1976
1567;A Little Less Conversation;Elvis & Junkie XL;2002
1568;Rainy Day Women Nos 12 & 35;Bob Dylan;1966
1569;Jambalaya (On the Bayou);The Carpenters;1974
1570;'t Is weer voorbij die mooie zomer;Gerard Cox;1973
1571;The Elephant Song;Kamahl;1975
1572;Unforgettable;Nat 'King' Cole;1951
1573;What Is Life;George Harrison;1971
1574;Bad Day;Daniel Powter;2005
1575;Man! I Feel Like a Woman!;Shania Twain;1999
1576;Good morning judge;10cc;1977
1577;Oh Lori;Alessi Brothers;1977
1578;I Feel Fine;The Beatles;1965
1579;Ticket to ride;The Beatles;1965
1580;Blinded by the light;Manfred Mann's Earth Band;1976
1581;Heart of glass;Blondie;1979
1582;Summer night city;ABBA;1978
1583;Lucky Lips;Cliff Richard;1963
1584;You've Made Me So Very Happy;Blood, Sweat & Tears;1969
1585;Street Life;The Crusaders & Randy Crawford;1979
1586;Some People;Cliff Richard;1987
1587;I Won't Stand Between Them;Bonnie St. Claire;1970
1588;Hold on My Heart;Genesis;1992
1589;Always Look on the Bright Side of Life;Monty Python;1981
1590;Mexico;Zangeres Zonder Naam;1969
1591;(I can't help) falling in love with you;UB40;1993
1592;Adem Mijn Adem;Peter Schaap;1975
1593;When You Are A King;White Plains;1971
1594;Green Manalishi;Fleetwood Mac;1970
1595;Tin Soldier;Small Faces;1968
1596;The Nightfly;Donald Fagen;1982
1597;Daydream;Wallace Collection;1969
1598;What a Fool Believes;The Doobie Brothers;1978
1599;Crying in the Rain;The Everly Brothers;1962
1600;Great Balls of Fire;Jerry Lee Lewis;1957
1601;We zullen doorgaan;Ramses Shaffy;1975
1602;Forever Man;Eric Clapton;1985
1603;Le Printemps;Michel Fugain;1977
1604;You're in my heart;Rod Stewart;1977
1605;What's love got to do with it;Tina Turner;1984
1606;I don't believe in if anymore;Roger Whittaker;1970
1607;My Back Pages;The Byrds;1967
1608;Strangers in the night;Frank Sinatra;1966
1609;Dedicated Follower of Fashion;The Kinks;1966
1610;Block Buster!;The Sweet;1973
1611;Tiger feet;Mud;1974
1612;Hey St. Peter;Flash and the Pan;1977
1613;The French Song;Lucille Starr;1964
1614;Suicide is Painless;M*A*S*H;1970
1615;Sag Mir Wo Die Blumen Sind;Marlene Dietrich;1963
1616;Killing me softly with his song;Roberta Flack;1973
1617;Live and let die;Paul McCartney & Wings;1973
1618;Gute Nacht, Freunde;Reinhard Mey;1974
1619;Happy together;The Turtles;1967
1620;Kiss;Prince & The Revolution;1986
1621;The Carnival Is Over;The Seekers;1965
1622;Hello Mary Lou;Ricky Nelson;1961
1623;Take her home;Ro-d-Ys;1967
1624;Far Far Away;Slade;1974
1625;Bye bye love;The Everly Brothers;1957
1626;Where the Wild Roses Grow;Kylie Minogue & Nick Cave;1995
1627;Il est cinq heures, Paris s'éveille;Jacques Dutronc;1968
1628;Wang Dang Doodle;Livin' Blues;1971
1629;Starlight dancer;Kayak;1977
1630;Soldiers who want to be heroes;Rod McKuen;1971
1631;After midnight;Eric Clapton;1970
1632;Some kind of wonderful;Grand Funk Railroad;1975
1633;Airport Song;Magna Carta;1970
1634;Heal the World;Michael Jackson;1992
1635;Osaka;The Shoes;1970
1636;Me gustas tú;Manu Chao;2000
1637;Te veel te vaak;Liesbeth List;1974
1638;Everybody's Talking;Nilsson;1969
1639;Roll Over Beethoven;Electric Light Orchestra;1973
1640;Ik heb zo waanzinnig gedroomd;Kinderen voor Kinderen;1981
1641;Smooth;Santana & Rob Thomas;1999
1642;Nightboat to Cairo;Madness;1980
1643;Faith;George Michael;1987
1644;Maria;West Side Story - Leonard Bernstein;1961
1645;Refugee;Tom Petty & The Heartbreakers;1980
1646;Save Room;John Legend;2007
1647;Pamela;Toto;1988
1648;Pour moi la vie va commencer;Johnny Hallyday;1963
1649;No Son of Mine;Genesis;1991
1650;All around my hat;Steeleye Span;1976
1651;Sex Bomb;Tom Jones & Mousse T.;1999
1652;Magic man;Heart;1976
1653;The Longest Time;Billy Joel;1984
1654;Guitar King;Hank the Knife & the Jets;1975
1655;Supreme;Robbie Williams;2001
1656;La Isla Bonita;Madonna;1987
1657;Met de vlam in de pijp;Henk Wijngaard;1978
1658;How 'bout Us;Champaign;1981
1659;When you're gone;Bryan Adams & Mel C;1998
1660;People Gotta Move;Gino Vannelli;1974
1661;Sailing;Christopher Cross;1981
1662;What You're Made Of;Lucie Silvas;2004
1663;Happy ending;Joe Jackson & Elaine Caswell;1984
1664;Paperback Writer;The Beatles;1966
1665;Daddy Cool;Boney M.;1976
1666;(I've Had) The Time of My Life;Bill Medley & Jennifer Warnes;1987
1667;It's my life;The Animals;1965
1668;Walk like an Egyptian;The Bangles;1986
1669;My Lady of Spain;The Classics;1972
1670;Veerpont;Drs. P;1973
1671;Goin' back;Dusty Springfield;1966
1672;Ik meen 't;André Hazes;1985
1673;How long;Ace;1974
1674;Second hand Rose;Barbra Streisand;1966
1675;Be my day;The Cats;1974
1676;I Shot the Sheriff;Eric Clapton;1974
1677;Life for Rent;Dido;2003
1678;Smooth Operator;Sade;1984
1679;Marmor, Stein Und Eisen Bricht;Drafi Deutscher;1965
1680;The joker;Steve Miller Band;1973
1681;Relax;Frankie Goes to Hollywood;1984
1682;Daydream Believer;The Monkees;1967
1683;That was yesterday;Foreigner;1985
1684;Food for thought;UB40;1980
1685;Water of Love;Dire Straits;1978
1686;Azzurro;Adriano Celentano;1969
1687;Two tribes;Frankie Goes to Hollywood;1984
1688;Never, never gonna give ya up;Barry White;1974
1689;Love Letters in the Sand;Pat Boone;1957
1690;Something's Gotten Hold of My Heart;Gene Pitney;1968
1691;Oye Como Va;Santana;1971
1692;Promised You a Miracle;Simple Minds;1982
1693;I'm So Excited;The Pointer Sisters;1984
1694;La mamma;Corry Brokken;1964
1695;Hé, kom aan;Dimitri van Toren;1973
1696;There Goes My Heart Again;Fats Domino;1963
1697;1 Nacht Alleen;Doe Maar;1983
1698;Dancing with Tears in My Eyes;Ultravox;1984
1699;Girls just want to have fun;Cyndi Lauper;1984
1700;Winter in America;Doug Ashdown;1978
1701;White Christmas;Bing Crosby;1954
1702;Paroles;Dalida & Alain Delon;1973
1703;I would die 4 U;Prince & The Revolution;1984
1704;After the love has gone;Earth, Wind & Fire;1979
1705;Bachelor Boy;Cliff Richard;1963
1706;Ik ben ik;Boudewijn de Groot;1974
1707;Meisjes met rode haren;Arne Jansen & Les Cigales;1972
1708;I finally found someone;Barbra Streisand & Bryan Adams;1997
1709;Power to All Our Friends;Cliff Richard;1973
1710;My world;Bee Gees;1972
1711;Lookin' out for Number One;Bachman-Turner Overdrive;1976
1712;Not just a flower in your hair;After Tea;1967
1713;Ob-La-Di, Ob-La-Da;The Beatles;1969
1714;Alles kan een mens gelukkig maken;René Froger;1989
1715;Promise Me;Beverley Craven;1990
1716;Rock and Roll Music;The Beatles;1965
1717;Mexico;Les Humphries Singers;1972
1718;Rock DJ;Robbie Williams;2000
1719;Buona Sera;Louis Prima;1958
1720;Verdammt Ich Lieb' Dich;Matthias Reim;1990
1721;Je loog tegen mij;Drukwerk;1981
1722;Everywhere;Fleetwood Mac;1988
1723;Je t'aime... moi non plus;Serge Gainsbourg & Jane Birkin;1969
1724;Iedereen doet 't;Robert Long;1986
1725;Spiegelbeeld;Willeke Alberti;1963
1726;Pa;Doe Maar;1983
1727;Oliver's Army;Elvis Costello;1979
1728;Don't Stand So Close to Me;The Police;1980
1729;Every kinda people;Robert Palmer;1978
1730;Something Happened on the Way to Heaven;Phil Collins;1990
1731;Marrakesh Express;Crosby, Stills & Nash;1969
1732;Poupée de cire, poupée de son;France Gall;1965
1733;Song for Guy;Elton John;1979
1734;I Got You (I Feel Good);James Brown;1966
1735;Don't Go;Yazoo;1982
1736;The Jean Genie;David Bowie;1973
1737;Sympathy;Steve Rowland & The Family Dogg;1970
1738;Don't Let Me Be Misunderstood;Nina Simone;1964
1739;Harborlight;Windjammer;1977
1740;Monica;Circus Custers;1987
1741;Maybe I'm Amazed;Wings;1977
1742;I hope I never;Split Enz;1981
1743;Windforce 11;Nadieh;1987
1744;Big yellow taxi;Joni Mitchell;1970
1745;Should I Stay or Should I Go;The Clash;1982
1746;Kids in America;Kim Wilde;1981
1747;Twee Motten;Dorus;1957
1748;Roll Over Beethoven;Chuck Berry;1956
1749;I'm Every Woman;Chaka Khan;1979
1750;The letter;The Box Tops;1967
1751;This is not America;David Bowie & Pat Metheny Group;1985
1752;Goodbye Yellow Brick Road;Elton John;1973
1753;Le moribond;Jacques Brel;1961
1754;I Lie and I Cheat;Won Ton Ton;1988
1755;I've Never Been to Me;Charlene D'Angelo;1982
1756;Oh, Happy Day;Edwin Hawkins Singers;1969
1757;Hard to Say I'm Sorry;Chicago;1982
1758;December, 1963 (Oh, What a Night);The Four Seasons;1976
1759;I'll Be Your Baby Tonight;Bob Dylan;1967
1760;Please Don't Tease;Cliff Richard;1960
1761;Millennium;Robbie Williams;1998
1762;Death of a Clown;Dave Davies;1967
1763;Don't Go Breaking My Heart;Elton John & Kiki Dee;1976
1764;La ballade des gens heureux;Gérard Lenorman;1976
1765;David's Song;The Kelly Family;1979
1766;To My Father's House;Les Humphries Singers;1970
1767;Love Games;Level 42;1981
1768;Giving It All Away;Roger Daltrey;1973
1769;Holly Holy;Neil Diamond;1969
1770;We are the world;USA for Africa;1985
1771;Best of both worlds;Robert Palmer;1978
1772;Love Is Like Oxygen;The Sweet;1978
1773;A Face in the Crowd;Tom Petty;1990
1774;Wishful Thinking;China Crisis;1984
1775;Underneath Your Clothes;Shakira;2002
1776;Can't smile without you;Barry Manilow;1978
1777;Ring of fire;The Animals & Eric Burdon;1969
1778;Jesus Is Just Allright;The Byrds;1970
1779;It's Too Late;Carole King;1971
1780;You Should Be Dancing;Bee Gees;1976
1781;Lovely Day;Bill Withers;1978
1782;Easy;Commodores;1978
1783;Let's Twist Again;Chubby Checker;1962
1784;Greatest Love of All;Whitney Houston;1986
1785;Quit Playing Games (with My Heart);Backstreet Boys;1996
1786;Magical mystery tour;The Beatles;1967
1787;Don't Let the Sun Go Down on Me;Elton John;1974
1788;Absolute beginners;David Bowie;1986
1789;Don't leave me this way;The Communards & Sarah Jane Morris;1986
1790;Rocky;Don Mercedes;1976
1791;Baby Makes Her Blue Jeans Talk;Dr. Hook;1982
1792;It's a Sin;Pet Shop Boys;1987
1793;(You Never Can Tell) C'est la vie;Emmylou Harris;1977
1794;Live to Tell;Madonna;1986
1795;Yes Sir, I Can Boogie;Baccara;1977
1796;I'm Walking;Fats Domino;1957
1797;L'important c'est la rose;Gilbert Bécaud;1967
1798;Ritme van de regen;Rob de Nijs;1963
1799;It's over;Level 42;1987
1800;My Little Town;Simon & Garfunkel;1975
1801;Lost Without Your Love;Bread;1977
1802;Mad world;Michael Andrews feat. Gary Jules;2002
1803;Diana;Paul Anka;1957
1804;Witchy Woman;Eagles;1972
1805;Hou van mij;Het Goede Doel;1983
1806;The Night They Drove Ol' Dixie Down;Joan Baez;1971
1807;Matrimony;Gilbert O'Sullivan;1972
1808;Duel;Propaganda;1985
1809;Zoek jezelf;Koot & Bie;1975
1810;Touch;The Outsiders;1966
1811;Summer in the city;The Lovin' Spoonful;1966
1812;You are the sunshine of my life;Stevie Wonder;1973
1813;Something in the air;Thunderclap Newman;1969
1814;Play That Funky Music;Wild Cherry;1976
1815;If I had a hammer;Trini Lopez;1963
1816;Can't get you out of my head;Kylie Minogue;2001
1817;Whole again;Atomic Kitten;2001
1818;Kiss and Say Goodbye;The Manhattans;1976
1819;Mr. Pleasant;The Kinks;1967
1820;Je wordt ouder papa;Peter Koelewijn;1977
1821;Conquistador;Procol Harum;1972
1822;Last dance;Donna Summer;1978
1823;Itchycoo Park;Small Faces;1967
1824;In the army now;Status Quo;1986
1825;Afrikaan Beat;Bert Kaempfert;1962
1826;Hurt;Timi Yuro;1961
1827;Paradiso;Anneke Grönloh;1962
1828;If You Go;Barry & Eileen;1975
1829;Bakker de Baksteen;Cornelis Vreeswijk;1976
1830;Hello Dolly;Louis Armstrong;1964
1831;I've got the music in me;Kiki Dee;1974
1832;Intro/Sweet Jane;Lou Reed;1974
1833;Willempie;André van Duin;1976
1834;Abracadabra;Steve Miller Band;1982
1835;Help Me Rhonda;The Beach Boys;1965
1836;Een lied voor kinderen;Dimitri van Toren;1973
1837;It's a heartache;Bonnie Tyler;1978
1838;Sittin' on a fence;Twice as Much;1966
1839;How Can I Be Sure;David Cassidy;1972
1840;The Day I Met Marie;Cliff Richard;1967
1841;If I Could Turn Back Time;Cher;1989
1842;We Don't Need Another Hero;Tina Turner;1985
1843;Wishing You Were Here;Chicago;1974
1844;Reeling in the years;Steely Dan;1973
1845;There's No More Corn on the Brasos;The Walkers;1971
1846;Vogue;Madonna;1990
1847;Lovin' You;Minnie Riperton;1975
1848;Man of the world;Fleetwood Mac;1969
1849;If I were a carpenter;Four Tops;1968
1850;Only Lies;Greenfield & Cook;1971
1851;Stars;Simply Red;1991
1852;Livin' Thing;Electric Light Orchestra;1976
1853;I Got a Name;Jim Croce;1975
1854;Liefdesliedjes;Jazzpolitie;1993
1855;Bangladesh;George Harrison;1971
1856;Kiss Me Quick;Elvis Presley;1963
1857;Little Lies;Fleetwood Mac;1987
1858;You and me;Spargo;1980
1859;Ma préference;Julien Clerc;1978
1860;Queen for Tonight;Helen Shapiro;1963
1861;Kodachrome;Paul Simon;1973
1862;I Can't Dance;Genesis;1992
1863;Voorbij;Paul de Leeuw;1994
1864;Meisjes;Raymond van het Groenewoud;1977
1865;Hopelessly Devoted to You;Olivia Newton John;1978
1866;You're the One That I Want;John Travolta & Olivia Newton-John;1978
1867;True Love That's a Wonder;Sandy Coast;1971
1868;Lessons in Love;Level 42;1986
1869;Jan Klaassen de trompetter;Rob de Nijs;1973
1870;Mannish Boy;Muddy Waters;1988
1871;Twelve Thirty (Young Girls Are Coming to the Canyon);The Mamas and the Papas;1967
1872;Get Here;Oleta Adams;1990
1873;Stand by Your Man;Tammy Wynette;1975
1874;Can we still be friends;Robert Palmer;1979
1875;Without your love;Roger Daltrey;1981
1876;Arms of Mary;Sutherland Brothers & Quiver;1976
1877;Heart of Stone;The Rolling Stones;1965
1878;Black Horse and the Cherry Tree;KT Tunstall;2005
1879;No more heroes;The Stranglers;1978
1880;Hope of deliverance;Paul McCartney;1993
1881;Venise (Elle voulait qu'on l'appelle);Julien Clerc;1976
1882;For Me...formidable;Charles Aznavour;1963
1883;Moonlight Serenade;Glenn Miller;1939
1884;Ik ben gelukkig zonder jou;Conny Vandenbos;1966
1885;Stay;Simply Red;2007
1886;Rapper's Delight;The Sugarhill Gang;1979
1887;James;Billy Joel;1976
1888;Let's dance;The Cats;1972
1889;Star;Earth, Wind & Fire;1979
1890;Reach out I'll be there;Four Tops;1966
1891;In dulci jubilo;Mike Oldfield;1976
1892;Woodstock;Matthews' Southern Comfort;1970
1893;Cracklin' Rosie;Neil Diamond;1970
1894;The eyes of Jenny;Sandy Coast;1981
1895;...baby one more time;Britney Spears;1999
1896;So not over you;Simply Red;2007
1897;Sealed with a Kiss;Brian Hyland;1962
1898;Crying;Don McLean;1980
1899;Music to watch girls by;Andy Williams;1967
1900;Love Is a Stranger;Eurythmics;1983
1901;Walking on sunshine;Katrina & the Waves;1985
1902;Ti sento;Matia Bazar;1986
1903;Donna;Ritchie Valens;1964
1904;All day and all of the night;The Kinks;1964
1905;Do the Strand;Roxy Music;1973
1906;Afscheid;Volumia!;1998
1907;Missing;Everything But The Girl;1995
1908;Breakfast;Associates;1985
1909;Holiday;Bee Gees;1967
1910;C'est Moi;C. Jérôme;1974
1911;Ev'ry Time We Say Goodbye;Ella Fitzgerald;1956
1912;We Don't Talk Anymore;Cliff Richard;1979
1913;Both Sides Now;Euson;1971
1914;Rock Your Baby;George McCrae;1974
1915;Davy's on the Road Again;Manfred Mann's Earth Band;1978
1916;Le Meteque;Georges Moustaki;1969
1917;Sing our own song;UB40;1986
1918;Buddy Joe;Golden Earring;1972
1919;Vrede;Ruth Jacott;1993
1920;Samen zijn;Willeke Alberti;1987
1921;Wannabe;Spice Girls;1996
1922;Jive Talkin';Bee Gees;1975
1923;Uptown Girl;Billy Joel;1983
1924;Twisting by the Pool;Dire Straits;1983
1925;Why;Bronski Beat;1984
1926;Congratulations;Cliff Richard;1968
1927;The show;Dizzy Man's Band;1973
1928;Sleep Walkin';Golden Earring;1976
1929;Need You Tonight;INXS;1987
1930;Lovin' Whiskey;Rory Block;1988
1931;Na Na Na;The Shoes;1967
1932;The look;Roxette;1989
1933;Guitar Tango;The Shadows;1962
1934;Angel eyes;Wet Wet Wet;1988
1935;The look of love;Dusty Springfield;1967
1936;Fade to grey;Visage;1981
